	PolyIC...Bf	PolyIC...Bf.1	PolyIC...Bf.2	PolyIC...Bf.3	PolyIC...Bf.4	PolyIC...Bf.5	PolyIC...Bf.6	PolyIC...Bf.7	PolyIC...Bf.8	PolyIC...Bf.9	PolyIC	PolyIC.1	PolyIC.2	PolyIC.3	PolyIC.4	PolyIC.5	PolyIC.6	PolyIC.7	PolyIC.8	PolyIC.9
346	0	0	1	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0
347	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	2	0	1	0	0
341	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0
343	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
349	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	2
299	2	1	2	1	2	2	3	3	1	2	2	1	3	1	2	3	0	1	2	4
296	0	0	1	1	0	0	3	0	1	2	3	1	1	1	1	0	1	0	1	0
297	1	0	0	1	2	0	0	2	0	0	3	0	0	0	0	0	0	3	0	0
294	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	2	0	0	0
292	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
293	0	1	2	1	3	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
290	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0
291	0	0	0	4	3	1	0	0	1	0	1	1	1	3	0	1	0	1	1	2
270	2	0	0	1	0	2	1	1	0	3	0	0	2	3	2	0	2	0	0	0
271	0	0	0	0	2	1	0	0	0	2	0	0	1	2	0	0	0	0	0	3
272	2	0	0	3	0	4	3	1	2	0	1	0	0	0	0	1	0	0	0	2
274	5	9	6	15	5	2	9	6	3	4	7	3	5	6	5	5	3	1	1	1
275	2	2	1	0	1	0	0	2	2	1	0	0	0	0	2	0	0	4	0	0
276	1	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
277	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0
279	0	0	0	0	0	1	0	0	0	0	0	0	3	5	0	1	0	0	3	1
108	0	0	0	0	3	1	7	7	0	6	2	3	1	0	2	0	2	3	1	7
102	2	0	1	0	0	3	1	0	1	3	4	2	6	3	0	1	1	0	3	2
103	0	3	2	0	4	0	0	1	0	0	0	0	1	2	2	0	0	0	3	0
100	4	1	4	2	2	1	1	2	0	2	2	3	2	5	1	0	1	1	2	1
101	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
106	2	1	2	3	2	0	1	6	3	0	1	2	0	2	3	5	1	0	4	0
107	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	9	4
104	0	0	0	1	0	2	0	1	0	0	1	1	0	0	0	1	0	1	0	0
105	0	0	3	0	1	0	2	1	3	0	1	1	0	0	2	1	1	2	0	0
1213	1	0	0	0	2	0	4	9	0	4	0	2	1	3	0	0	1	1	1	2
99	1	0	1	3	1	1	3	2	0	5	5	0	0	0	0	1	1	0	8	1
98	1	0	2	0	4	2	0	3	3	3	1	0	3	1	3	4	2	4	3	6
91	1	5	5	1	0	3	8	0	2	6	1	5	0	2	2	1	0	0	5	1
90	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	0	0	2	2	0	2	11	2	0	4	0	0	0	0	1	1	3	0
92	2	1	0	1	0	0	1	1	0	0	0	0	1	2	2	3	3	0	2	3
