taxon	colour
Actinobacteria:Actinomyces	mediumvioletred
Actinobacteria:Arcanobacterium	#999933
Actinobacteria:Mobiluncus	tan1
Actinobacteria:unclassified	#666699
Actinobacteria:Corynebacterium	#CC9933
Actinobacteria:Alloscardovia	#006666
Actinobacteria:Bifidobacterium	#993300
Actinobacteria:Gardnerella	indianred1
Actinobacteria:Atopobium	pink
Bacteroidetes:Porphyromonas	#CCCC99
Bacteroidetes:unclassified	#666666
Bacteroidetes:Prevotella	mediumpurple1
Chlamydiae:Chlamydia	#FFCC66
Firmicutes:Gemella	#6699CC
Firmicutes:Paenibacillus	#663366
Firmicutes:Lactobacillus	royalblue4
Firmicutes:Lactobacillus_crispatus	skyblue1
Firmicutes:Lactobacillus_iners	steelblue3
Firmicutes:Streptococcus	aquamarine3
Firmicutes:Clostridium(sensu_stricto)	#9999CC
Firmicutes:Anaerococcus	#CCCCCC
Firmicutes:Finegoldia	#669999
Firmicutes:Parvimonas	#CCCC66
Firmicutes:Peptoniphilus	#CC6600
Firmicutes:Moryella	#9999FF
Firmicutes:Peptostreptococcus	#0066CC
Firmicutes:unclassified_BVAB1	#99CCCC
Firmicutes:unclassified_BVAB2	#3399FF
Firmicutes:unclassified_BVAB3	#999999
Firmicutes:Granulicatella	mediumorchid3
Firmicutes:Dialister	#C0C0C0
Firmicutes:Megasphaera	olivedrab3
Firmicutes:Veillonella	#FFCC00
Fusobacteria:Fusobacterium	#009999
Fusobacteria:Leptotrichia(Sneathia)	#FFED6F
Proteobacteria:Campylobacter	#FF9900
Proteobacteria:Escherichia/Shigella	#999966
Proteobacteria:unclassified_Enterobacteriaceae	#66CCCC
Tenericutes:Mycoplasma	#339966
unclassified:TM7_genera_incertae_sedis	#CCCC33
unclassified:unclassified_Bacteroidales	#EDEDED
