	B208_bv	A208_n	B210_bv	A210_i	B226_bv	A226_n	B232_bv	A232_n	B236_bv	A236_n	B238_bv	A238_i	B240_bv	A240_n	B242_bv	A242_n	B244_bv	A244_n	B246_bv	A246_n	B256_bv	A256_n	B260_bv	A260_n	B266_bv	A266_n	B276_bv	A276_n	B280_bv	A280_n	B282_bv	A282_n	B284_bv	A284_n	B286_bv	A286_bv	B288_bv	A288_n	B290_bv	A290_n	B294_bv	A294_n	B296_bv	A296_bv	B300_bv	A300_bv	B302_bv	A302_bv	B304_bv	A304_n	B312_bv	A312_i	B314_bv	A314_n	B316_bv	A316_i	B318_bv	A318_n	B324_bv	A324_n	B326_bv	A326_n
Actinobacteria:Actinomyces	1	11	8	1	1	4	3	8	2	5	4	1	3	6	1	1	4	2	1	0	0	13	0	2	3	2	0	3	4	7	6	6	0	14	6	0	1	0	3	3	2	0	1	1	0	3	0	2	0	5	0	1	7	13	14	13	7	3	5	8	4	9
Actinobacteria:Arcanobacterium	1	0	2	3	2	2	2	2	4	4	3	473	6	6	5	3	0	0	0	1	2	1	0	1	1006	12	13	6	6	21	13	7	5	3	2	12	10	7	11	2	2	2	152	19	5	7	2	5	76	4	2	4	5	0	0	0	0	0	1	0	1	0
Actinobacteria:Mobiluncus	3	1	13	1	5	10	33	9	5	8	2	7	4	4	3	3	21	2	2	1	1	0	0	0	13	1	2	3	0	0	21	3	1	1	2	2	67	2	5	0	0	0	1	0	3	3	1	4	9	1	2	2	4	4	5	64	2	5	5	3	1	1
Actinobacteria:unclassified	19	19	3	1	1	0	3	2	0	0	7	8	2	0	23	13	15	31	11	9	496	336	12	14	7	4	8	8	5	11	3	5	7	4	12	7	0	3	34	47	25	21	66	51	46	54	374	566	70	41	29	50	3	9	7	17	0	2	14	16	104	4
Actinobacteria:Corynebacterium	2	2	2	3	7	2	1	1	1	1	0	1	1	3	0	2	16	2	2	1	0	0	0	4	0	0	1	11	0	2	0	4	0	1	0	0	1	3	0	2	1	2	1	15	1	7	0	0	0	0	3	0	5	6	0	0	3	5	2	4	0	1
Actinobacteria:Alloscardovia	0	0	0	0	0	3	0	0	1	1	1	2	0	1	15	22	19	9	6	8	13	15	10	19	0	2	0	0	0	0	0	0	0	0	1	1	0	1	11	9	9	1	17	12	5	12	17	14	8	7	8	13	0	0	1	0	0	1	1	0	3	2
Actinobacteria:Bifidobacterium	2	1	3	4	10	2	0	0	1	1	4	2	19	1	17	39	89	77	24	14	31	25	34	33	0	3	1	3	3	4	5	2	3	2	4	10	51	2	70	67	66	35	80	77	68	53	44	66	40	42	6072	74	0	1	33	36	5	0	0	1	5	6
Actinobacteria:Gardnerella	13590	1494	10588	2477	4586	1219	4886	748	2668	2754	477	6861	1088	990	7007	1501	6659	1003	8768	984	4154	4233	779	792	11380	2146	11291	5846	6896	2525	26811	15861	7451	1075	1308	14609	11341	1817	20017	10761	6713	1255	7154	7826	9729	6616	5319	12461	10056	1380	2316	1686	17083	9495	7630	10228	941	638	10213	1056	1353	1209
Actinobacteria:Atopobium	2423	168	474	424	196	205	1208	116	1042	414	225	713	190	303	2755	184	999	151	768	178	604	279	130	259	1863	278	1743	512	836	468	422	549	1202	414	559	1453	1742	544	2126	628	863	288	1581	697	2185	1893	1160	2712	2964	196	445	541	2264	110	1762	1109	142	117	1052	238	253	206
Bacteroidetes:Porphyromonas	157	10	6	7	7	28	73	21	20	20	31	213	20	25	27	42	129	36	13	10	796	178	12	12	41	9	16	12	299	14	8	15	6	4	14	20	4	4	48	29	24	7	37	26	52	92	13	20	25	19	8	3	43	32	39	38	32	12	47	45	32	26
